Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
LASON INC	166.905	2.7	61.81666667	50.038	53.646	25.972	2.182	12.153	12.153	9.697	5.927	27.281	7.006	2.654	2.785	0.326	1.072
LION INC	8.134	0.136	59.80882353	3.246	7.389	2.762	0	2.883	2.883	2.705	1.025	0.086	1.323	0.483	0.02	0.03	2.821
LIQUID AUDIO INC	0.043	0.001	43	1.935	9.269	0.028	0	9.077	9.077	0	0	0	-6.808	0.226	0	0	-8.294
LIVESTAR ENTMT GROUP INC	0.001	0.009	0.111111111	1.929	0.388	0.007	0	0.015	0.015	0.015	0.007	0	-0.954	0.003	0	0	-0.91
LOCATEPLUS HOLDINGS CORP	3.399	0.059	57.61016949	5.21	7.214	1.508	0	1.523	1.523	4.312	2.475	0.562	-3.583	0.6	0.686	0	-4.407
LOOKSMART LTD	156.229	0.408	382.9142157	39.795	126.092	22.265	0	63.866	69.934	29.488	8.444	0.283	19.219	7.836	0.112	0.576	5.786
LOUDEYE CORP	11.948	0.056	213.3571429	10.011	27.044	1.849	0	12.48	21.94	5.937	1.123	2.135	-8.03	2.378	0.286	0	-19.174
LUCENT TECHNOLOGIES INC	8470	34.5	245.5072464	19136	15765	1511	665	3821	4507	4081	1593	5591	203	574	353	-233	-770
MACREPORT NET INC	0.391	0.008	48.875	1.564	0.064	0	0	0.002	0.022	0.061	0.032	0	-0.912	0.012	0.108	0	-1.036
MAMMA.COM INC	8.939	0.037	241.5945946	3.716	11.736	2.303	0	4.489	4.489	1.175	0.367	0	0.493	0.319	0	-0.078	-0.211
MARCHEX INC	19.892	0.17	117.0117647	10.429	33.703	1.919	0	6.019	6.019	1.307	0.995	0	0.292	3.337	0	-1.085	-2.169
MARKETWATCH.COM INC	47.173	0.206	228.9951456	10.063	85.228	7.022	0	48.079	48.079	21.302	4.387	0	6.058	3.755	-99	0.15	2.655
MEDICAL MAKEOVER CP OF AMER	0.001	0.001	1	0.18	0	0	0	0	0	0	0	0	-0.027	0	0.001	0	-0.028
