Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20100701	-1.2126	1.2752	-0.0317	0.6519	-0.737	-0.806	0.65325
20100702	-0.6198	-0.8544	-0.3493	0.475	-0.5793	-0.0707	-0.79575
20100706	0.6844	-0.0454	1.0835	2.3636	1.313	1.5733	0.13705
20100707	4.0361	1.8152	4.4767	2.0151	2.8673	1.6881	2.370425
20100708	-0.2223	2.5405	0.6035	0.4506	0.7638	0.6504	1.8498
20100709	0.5928	0.2898	1.2298	-0.5715	-0.0078	-0.051	0.36555
20100712	-0.8994	1.0402	0.0593	2.3074	0.5549	0.2722	0.5553
20100713	-2.1327	1.2868	2.0136	1.2082	1.4067	0.8144	0.431925
20100714	0.3689	0.0847	-0.6096	1.2336	0.1839	-0.2693	0.15575
20100715	-0.5053	0.6065	-0.5549	0.2752	0	0.0169	0.32855
20100716	-0.6164	-1.9487	-2.9956	-2.4304	-2.0578	-2.2102	-1.615625
20100719	-1.7287	-0.0429	0.8477	1.366	1.3747	0.8109	-0.46435
20100720	2.5694	1.3732	0.2702	0.9909	-2.4963	0.89	1.67225
20100721	0.9329	-1.0724	-1.7665	-1.4129	-1.0115	-1.3232	-0.571075
20100722	1.8817	1.84	2.3773	2.8662	1.7562	2.0801	1.850425
20100723	0.3536	-2.1008	1.6076	-0.1161	0.7139	0.5726	-1.4872
20100726	-0.2539	1.3877	0.7911	1.1236	0.0234	1.1219	0.9773
20100727	1.8513	-0.6632	-0.3488	0.2299	0.1713	0.6955	-0.034575
20100728	-1.1815	-0.8949	-0.7001	-0.8027	-0.1555	0.1644	-0.96655
20100729	-1.0921	-0.559	-0.9695	0.3083	-0.3192	-0.9358	-0.692275
20100730	-0.3332	0.5045	-0.0593	-0.8452	0.2968	-1.0938	0.295075
20100802	1.7881	0.7457	2.3449	2.0147	1.838	3.7869	1.0063
20100803	0.0305	0.2847	-0.7831	-0.6457	-0.2983	1.2593	0.22115
20100804	0.4009	0.3407	1.8123	-1.6437	0.6903	0	0.35575
20100805	-0.4867	-0.3395	0.4307	-1.3991	0.4266	-0.0159	-0.3763
20100806	-0.6148	1.8311	0.0572	0.7095	-0.7889	-1.18	1.219625
20100809	0.6379	1.6448	0.4571	0.2348	1.4292	0.7746	1.393075
20100810	-0.894	-0.1097	0.3697	-2.1086	-0.1212	-0.8327	-0.305775
20100811	-3.5542	-1.7435	-3.032	-0.8377	-1.5246	-1.7762	-2.196175
20100812	0.6395	0.6846	-0.6721	-1.4883	-1.1785	-0.2649	0.673325
20100813	-1.0683	-0.2359	-0.912	-0.3675	-0.3352	-0.5313	-0.444
20100816	-0.5861	-0.1391	-0.0594	0.4098	-0.0782	-0.0501	-0.25085
20100817	1.7485	1.9919	0.2971	1.3878	0.5322	1.5698	1.93105
20100818	0.4366	0.041	0.4443	0.4452	0.7338	-1.1016	0.1399
20100819	-1.2605	-0.3823	-2.1233	-1.531	-0.3806	-1.4298	-0.60185
20100820	-0.096	0.1507	-0.4218	-0.8593	-1.0861	-0.6747	0.089025
20100823	-1.5382	0.3558	-0.3631	0.2064	-0.8078	1.0358	-0.1177
20100824	-2.3881	-0.8454	-2.399	-0.9885	-1.2414	-0.9412	-1.231075
20100825	1.2337	0.6463	-0.0933	0.2496	0.2962	-0.0509	0.79315
20100826	-1.0746	-0.041	-0.5294	-1.1618	-1.9877	-0.7299	-0.2994
20100827	0.5577	1.1345	2.6299	0.4618	1.5882	2.2572	0.9903
20100830	0.3642	-0.9461	-1.3118	-1.2119	-1.0663	-1.3378	-0.618525
20100831	0.2474	0.4399	0.5873	-0.7403	-0.2188	0.1864	0.391775
20100901	2.9741	2.0257	2.9809	1.8538	2.1441	3.0452	2.2628
20100902	0.735	0.6439	1.1937	0.1674	-0.5804	0.2463	0.666675
20100903	2.6173	0.0933	2.2412	1.462	2.0314	0.4258	0.7243
20100907	-0.371	0.9455	-2.394	-1.3586	-1.2776	-1.2557	0.616375
20100908	1.9821	0.3694	0	-0.1252	0.1032	0.3303	0.772575
